DATE,T10YIE
2006-01-01,2.4100000000000000
2006-02-01,2.5200000000000000
2006-03-01,2.5265217391304348
2006-04-01,2.5815789473684211
2006-05-01,2.6640909090909091
2006-06-01,2.5768181818181818
2006-07-01,2.5805000000000000
2006-08-01,2.5856521739130435
2006-09-01,2.3995000000000000
2006-10-01,2.3176190476190476
2006-11-01,2.3033333333333333
2006-12-01,2.3140000000000000
2007-01-01,2.3228571428571429
2007-02-01,2.3621052631578947
2007-03-01,2.3877272727272727
2007-04-01,2.4380952380952381
2007-05-01,2.3727272727272727
2007-06-01,2.4119047619047619
2007-07-01,2.3676190476190476
2007-08-01,2.2365217391304348
2007-09-01,2.2642105263157895
2007-10-01,2.3254545454545455
2007-11-01,2.3805000000000000
2007-12-01,2.3085000000000000
2008-01-01,2.2752380952380952
2008-02-01,2.3325000000000000
2008-03-01,2.4190000000000000
2008-04-01,2.3127272727272727
2008-05-01,2.4200000000000000
2008-06-01,2.4709523809523810
2008-07-01,2.4386363636363636
2008-08-01,2.2095238095238095
2008-09-01,1.8361904761904762
2008-10-01,1.0618181818181818
2008-11-01,0.63833333333333333333
2008-12-01,0.24636363636363636364
2009-01-01,0.60550000000000000000
2009-02-01,1.1178947368421053
2009-03-01,1.1104545454545455
2009-04-01,1.3595238095238095
2009-05-01,1.5760000000000000
2009-06-01,1.8595454545454545
2009-07-01,1.7395454545454545
2009-08-01,1.8133333333333333
2009-09-01,1.7600000000000000
2009-10-01,1.9042857142857143
2009-11-01,2.1273684210526316
2009-12-01,2.2254545454545455
2010-01-01,2.3584210526315789
2010-02-01,2.2721052631578947
2010-03-01,2.2191304347826087
2010-04-01,2.3459090909090909
2010-05-01,2.1130000000000000
2010-06-01,1.9472727272727273
2010-07-01,1.7704761904761905
2010-08-01,1.6768181818181818
2010-09-01,1.7385714285714286
2010-10-01,2.0150000000000000
2010-11-01,2.0970000000000000
2010-12-01,2.2468181818181818
2011-01-01,2.3335000000000000
2011-02-01,2.3384210526315789
2011-03-01,2.4504347826086957
2011-04-01,2.5915000000000000
2011-05-01,2.3900000000000000
2011-06-01,2.2468181818181818
2011-07-01,2.3795000000000000
