,과 목,주 석,제 72(당) 반기,제 71(전)기
0,자 산,,,
1,I. 현금및현금성자산,567.0,1095712078978,950704341946
2,II. 예치금,567.0,658105511647,1019690023130
3,III. 당기손익인식유가증권,568.0,7794545708650,7165143101330
4,IV. 매도가능유가증권,568.0,73767921829374,70628054197034
5,V. 관계기업 및 공동기업투자,10.0,227687739472,230827515895
6,VI. 대출채권,5611.0,29391163247321,28812796035718
7,VII. 유형자산,1314.0,1742592538116,1855045463942
8,VIII. 투자부동산,1314.0,2651971082335,2553537514521
9,IX. 무형자산,14.0,1165711363601,1162552077169
10,X. 사용권자산,1415.0,103130311206,78778708272
11,XI. 파생상품자산,5612.0,132288891534,297987437629
12,XII. 당기법인세자산,,45468249763,141448560064
13,XIII. 이연법인세자산,,20175276107,15337826588
14,XIV. 기타금융자산,5616.0,1738460995612,1761323112500
15,XV. 기타자산,17.0,3078340131938,3048780748385
16,XVI. 특별계정자산,21.0,23235244721709,22128080482144
17,자 산 총 계,,146848519677363,141850087146267
18,부 채,,,
19,I. 보험계약부채,18.0,101543022677569,99268147652861
20,II. 계약자지분조정,20.0,1521415156299,1206758557909
21,III. 당기법인세부채,,3161741092,5049254773
22,IV. 이연법인세부채,,1343959346072,1066199991253
23,V. 파생상품부채,5612.0,912241261385,607563008835
24,VI. 순확정급여부채,22.0,174870511538,173802168607
25,VII. 충당부채,23.0,17318185072,16472542187
26,VIII. 기타금융부채,561524.0,2894256965061,2532400592970
27,IX. 기타부채,25.0,287054141376,154147320075
28,X. 특별계정부채,21.0,23173076531186,22826270838863
29,부 채 총 계,,131870376516650,127856811928333
30,자 본,,,
31,지배기업의 소유주에게 귀속되는 자본,,,
32,I. 자본금,26.0,4342650000000,4342650000000
33,II. 기타불입자본,26.0,"(457,606,832,087)","(457,886,936,004)"
34,III. 신종자본증권,27.0,2056343999076,2056297477526
35,IV. 기타자본구성요소,28.0,3659446369559,2820597421914
36,V. 이익잉여금,29.0,4010328627139,3924201158687
37,비지배지분,,1366980997026,1307416095811
38,자 본 총 계,,14978143160713,13993275217934
39,부 채 및 자 본 총 계,,146848519677363,141850087146267
