,과 목,주 석,제 69(당) 반기,제 68(전)기
0,자 산,,,
1,I. 현금및현금성자산,567,660541681419,851474072066
2,II. 예치금,567,577028596541,617681237016
3,III. 당기손익인식유가증권,568,3181697440559,2629683695760
4,IV. 매도가능유가증권,568,32710600857789,60484247553665
5,V. 만기보유유가증권,568,29530234042899,-
6,VI. 관계기업 및 공동기업투자,10,123395385166,126550201273
7,VII. 대출채권,5611,24759038469231,24371020410228
8,VIII. 유형자산,1314,1850177520899,1867570373166
9,IX. 투자부동산,1314,2603665300910,2821137645519
10,X. 무형자산,14,1381724929224,1436630179315
11,XI. 파생상품자산,5612,322641515008,100265886279
12,XII. 당기법인세자산,,100422419020,59061360829
13,XIII. 이연법인세자산,,14962601010,15841846829
14,XIV. 기타금융자산,5615,1255254424515,1274537769095
15,XV. 기타자산,16,3011990671531,2854356642842
16,XVI. 특별계정자산,20,21623806108449,19871076320622
17,자 산 총 계,,123707181964170,119381135194504
18,부 채,,,
19,I. 보험계약부채,"17, 18",87714865379936,84938942635375
20,II. 계약자지분조정,19,801210255183,773968333314
21,III. 당기법인세부채,,23175678561,14821269726
22,IV. 이연법인세부채,,867231314663,640040779279
23,V. 파생상품부채,5612,311201921150,1126337480556
24,VI. 순확정급여부채,21,201321902981,184271353704
25,VII. 충당부채,22,15025380660,13945648400
26,VIII. 기타금융부채,5623,1543694975147,1561878030048
27,IX. 기타부채,24,164239126452,221882780038
28,X. 특별계정부채,20,21653924130570,20745882888052
29,부 채 총 계,,113295890065303,110221971198492
30,자 본,,,
31,지배기업의 소유주에게 귀속되는 자본,,,
32,I. 자본금,25,4342650000000,4342650000000
33,II. 기타불입자본,25,"(440,193,627,494)","(440,193,627,494)"
34,III. 신종자본증권,26,497930280000,-
35,IV. 기타자본구성요소,27,1633064573589,1429039398163
36,V. 이익잉여금,28,3643151277371,3197556818396
37,비지배지분,,734689395401,630111406947
38,자 본 총 계,,10411291898867,9159163996012
39,부 채 및 자 본 총 계,,123707181964170,119381135194504
