,과 목,제 64기 2분기(2019년 6월말),제 63 기(2018년 12월말),제 62 기(2017년 12월말)
0,Ⅰ.현금및현금성자산,3442005,3434345,4055552
1,Ⅱ.당기손익인식금융자산,3555249,3488145,2861654
2,Ⅲ.매도가능금융자산,161013491,147638963,146042900
3,Ⅳ.만기보유금융자산,281558,280873,297696
4,V.대출채권및기타수취채권,70169925,73182513,67072166
5,Ⅵ.위험회피목적파생상품자산,516732,710094,689402
6,Ⅶ.관계기업투자,1382463,1346611,1629010
7,Ⅷ.금융리스채권,308808,376524,559238
8,IX.매각예정자산,-,-,49691
9,X.투자부동산,6930370,7297969,6812422
10,XI.유형자산,788764,822577,1065818
11,XII.무형자산,811638,850605,1004315
12,XⅢ .리스자산,225474,-,-
13,XⅣ.당기법인세자산,254485,1187,543749
14,XV.이연법인세자산,852,991,765
15,ⅩⅥ.기타자산,3897464,4062368,4705774
16,ⅩⅦ.특별계정자산,47919901,45933890,45323665
17,자 산 총 계,"301,499,179==================","289,427,655==================","282,713,817=================="
18,,,,
19,Ⅰ.보험계약부채,177042373,173943448,166897872
20,Ⅱ.계약자지분조정,10562396,8208565,9599619
21,Ⅲ.당기손익인식금융부채,61891,19419,15441
22,Ⅳ.기타금융부채,20398797,22484393,19663333
23,Ⅴ.위험회피목적파생상품부채,571458,266692,239429
24,Ⅵ.당기법인세부채,114313,363813,78715
25,Ⅶ.이연법인세부채,7295091,5293854,6668710
26,Ⅷ.충당부채,330720,335416,239350
27,Ⅸ.기타부채,1042204,1029980,1009339
28,X.특별계정부채,48413994,46976616,47180437
29,부 채 총 계,265833237,258922196,251592245
30,,,,
31,Ⅰ.지배기업주주지분,34059731,28902094,29358947
32,1.자본금,100000,100000,100000
33,2.자본잉여금,125115,125115,63084
34,3.자본조정,"(2,116,955)","(2,116,955)","(2,116,955)"
35,4.기타포괄손익누계액,20122902,15245998,17073526
36,5.이익잉여금,15828669,15547936,14239292
37,Ⅱ.비지배주주지분,1606211,1603365,1762625
38,자 본 총 계,35665942,30505459,31121572
39,,,,
40,부 채 와 자 본 총 계,"301,499,179 ==================","289,427,655==================","282,713,817=================="
