,과 목,주 석,제 71(당) 반기,제 71(당) 반기.1,제 70(전) 반기,제 70(전) 반기.1
0,Ⅰ. 영업활동으로 인한 현금흐름,,,"(1,173,551,089,672)",,1533503950574
1,1. 반기순이익,,88721972118,,303000986789,
2,2. 조정,42.0,1286620748051,,1277273963922,
3,3. 영업활동으로 인한 자산ㆍ부채의 변동,42.0,"(3,836,345,709,145)",,"(1,705,174,282,057)",
4,4. 이자의 수취,,1355502679238,,1447909697915,
5,5. 이자의 지급,,"(15,362,385,257)",,"(8,230,408,636)",
6,6. 배당금의 수취,,300917000799,,217569126828,
7,7. 법인세부담액,,"(353,605,395,476)",,1154865813,
8,Ⅱ. 투자활동으로 인한 현금흐름,,,514760363671,,"(1,325,925,970,606)"
9,1. 매도가능금융자산의 처분,,5020140844491,,5063465339605,
10,2. 만기보유금융자산의 상환,,41430977886,,42166135730,
11,3. 위험회피목적파생상품의 정산,,-,,446586733962,
12,4. 투자부동산 및 유형자산의 처분,,101007509624,,463136568,
13,5. 무형자산의 처분,,-,,533684462,
14,6. 관계기업투자의 처분,,1200000000,,2490000000,
15,7. 관계기업투자의 배당,,7367996951,,6163692001,
16,8. 예치보증금의 감소,,53061203557,,37703931335,
17,9. 기타금융부채의 증가,,27374325109,,-,
18,10. 비지배지분의 증가,,33400000000,,-,
19,11. 연결범위변동으로 인한 현금흐름,,5675696379,,-,
20,12. 매도가능금융자산의 취득,,"(3,900,026,711,629)",,"(4,709,720,607,825)",
21,13. 만기보유금융자산의 취득,,"(463,725,046,339)",,"(2,088,129,171,770)",
22,14. 위험회피목적 파생상품의 정산,,"(284,922,844,629)",,-,
23,15. 투자부동산 및 유형자산의 취득,,"(52,695,761,279)",,"(79,228,016,154)",
24,16. 관계기업투자의 취득,,"(2,156,979,514)",,"(5,865,794,000)",
25,17. 무형자산의 취득,,"(20,343,720,084)",,"(7,276,771,131)",
26,18. 예치보증금의 증가,,"(52,027,126,852)",,"(35,278,263,389)",
27,Ⅲ. 재무활동으로 인한 현금흐름,,,"(264,763,911,011)",,934989103277
28,1. 비지배지분의 증가,,-,,985000000,
29,2. 비지배지분의 감소,,"(13,541,629,970)",,"(9,457,265,350)",
30,3. 신종자본증권의 발행,,-,,1060069917526,
31,4. 신종자본증권 배당,,"(38,176,850,000)",,"(11,455,000,000)",
32,5. 배당금의 지급,,"(75,139,025,000)",,"(105,194,635,000)",
33,6. 차입금의 감소,,"(135,100,000,000)",,-,
34,7. 차입금의 증가,,-,,41086101,
35,8. 기타금융부채의 변동,,23712574590,,-,
36,9. 리스부채의 감소,,"(26,518,980,631)",,-,
37,Ⅳ. 현금및현금성자산의 순증가(감소)(Ⅰ+Ⅱ+Ⅲ),,,"(923,554,637,012)",,1142567083245
38,Ⅴ. 기초 현금및현금성자산,,,1838709692131,,582202676727
39,Ⅵ. 외화표시 현금및현금성자산 환율변동효과,,,5068443675,,34224206930
40,Ⅶ. 반기말 현금및현금성자산,,,920223498794,,1758993966902
