,과 목,제 64 (당) 기 2분기,제 63 (전) 기 2분기,제 63 (전) 기,제 62 (전전) 기
0,Ⅰ.영업수익,16487162,16915525,32240885,31959034
1,1.보험료수익,8057682,8050874,16134974,16645815
2,2.재보험수익,164906,145802,340144,301546
3,3.이자수익,3574014,3470276,7109193,6803907
4,4.당기손익인식금융자산관련이익,475889,186422,555479,522882
5,5.매도가능금융자산관련이익,121911,1220216,1247110,96079
6,6.위험회피목적파생상품관련이익,89590,158156,290112,1214034
7,7.외환거래이익,725992,630627,640649,420593
8,8.수수료수익,852283,832986,1677177,2235539
9,9.배당금수익,604232,646013,1081956,791569
10,10.임대료수익,232088,205924,420851,413564
11,11.특별계정수입수수료,824846,822137,1653367,1568717
12,12.특별계정수익,271521,258427,478535,468265
13,13.기타영업수익,313344,116167,271435,191221
14,14.리스수익,178864,171498,339903,285303
15,,,,,
16,Ⅱ.영업비용,15517571,14923161,29657574,30268428
17,1.보험계약부채전입액,2835181,3211071,6447570,7625987
18,2.지급보험금,7272903,6572643,13510288,11909948
19,3.재보험비용,215089,186463,389497,339230
20,4.사업비,1121236,1106063,2231879,1764161
21,5.신계약비상각비,735140,775511,1556301,1967010
22,6.재산관리비,150196,161555,327313,333391
23,7.이자비용,354381,227511,442153,445020
24,8.당기손익인식금융자산관련손실,302728,240423,416293,370233
25,9.매도가능금융자산관련손실,31459,5794,10486,60859
26,10.대출채권및기타수취채권관련손실,214226,181988,399371,291292
27,11.위험회피목적파생상품관련손실,567226,503985,478883,359291
28,12.외환거래손실,123120,195415,365329,1419784
29,13.특별계정비용,271521,258427,478535,468265
30,14.기타영업비용,1323165,1296312,2603676,2913957
31,,,,,
32,Ⅲ.영업이익,969591,1992364,2583311,1690606
33,,,,,
34,Ⅳ.영업외수익,93291,105601,364121,178496
35,,,,,
36,Ⅴ.영업외비용,10449,77543,581731,186330
37,,,,,
38,Ⅵ.법인세비용차감전연결순이익,1052433,2020422,2365701,1682772
39,,,,,
40,Ⅶ.법인세비용,258400,530678,631991,419565
41,,,,,
42,Ⅷ.당분기연결순이익,794033,1489744,1733710,1263207
43,,,,,
44,IX.법인세비용차감후기타포괄손익,4876889,"(2,245,505)","(1,849,565)",1781097
45,1.후속적으로 당기손익으로 재분류될 수 있는 포괄손익,,,,
46,가.매도가능금융자산평가손익,4733241,"(2,416,129)","(2,039,534)",1840459
47,나.만기보유금융자산평가손익,-,(16),(16),(186)
48,다.위험회피목적파생상품평가손익,"(23,181)",102555,146675,"(27,878)"
49,라.관계기업의 기타포괄손익지분,8988,9170,2387,3918
50,마.특별계정기타포괄손익,102136,10189,45544,"(36,173)"
51,바.해외사업환산손익,56568,51123,15102,"(12,775)"
52,2.당기손익으로 재분류되지 않는 포괄손익,,,,
53,가.순확정급여부채 재측정요소,(863),"(2,397)","(19,723)",13732
54,,,,,
55,X.반기연결총포괄이익,5670922,"(755,761)","(115,855)",3044304
56,,,,,
57,XI.반기연결순이익(손실)의 귀속,794033,1489744,1733710,1263207
58,지배기업의소유지분,756606,1445939,1664382,1166121
59,비지배지분,37427,43805,69328,97086
60,,,,,
61,XII. 반기연결총포괄이익(손실)의 귀속,5670922,"(755,761)","(115,855)",3044304
62,지배기업의소유지분,5633510,"(794,978)","(163,146)",2929387
63,비지배지분,37412,39217,47291,114917
64,,,,,
65,XⅢ.지배기업주주지분에대한 주당이익(단위: 원),,,,
66,기본주당이익,4213,8052,9268,6494
67,희석주당이익,4213,8052,9268,6494
