,과 목,제 65기 2분기(2020년 6월말),제 64 기(2019년 12월말),제 63 기(2018년 12월말)
0,Ⅰ.현금및현금성자산,3078287,5207649,3434345
1,Ⅱ.당기손익인식금융자산,7183023,4072253,3488145
2,Ⅲ.매도가능금융자산,168488582,166997576,147638963
3,Ⅳ.만기보유금융자산,280045,280147,280873
4,V.대출채권및기타수취채권,72424850,71754486,73182513
5,Ⅵ.위험회피목적파생상품자산,540213,561431,710094
6,Ⅶ.관계기업투자,1423328,1379148,1346611
7,Ⅷ.금융리스채권,163822,237508,376524
8,IX.매각예정자산,-,98637,-
9,X.투자부동산,6861954,6448735,7297969
10,XI.유형자산,720319,735119,822577
11,XII.무형자산,700310,743372,850605
12,XⅢ .리스자산,235478,206188,-
13,XⅣ.당기법인세자산,3177,527715,1187
14,XV.이연법인세자산,2617,1012,991
15,ⅩⅥ.기타자산,3310126,3715998,4062368
16,ⅩⅦ.특별계정자산,52409435,49795298,45933890
17,자 산 총 계,"317,825,566==================","312,762,272==================","289,427,655 =================="
18,,,,
19,Ⅰ.보험계약부채,184799385,180492968,173943448
20,Ⅱ.계약자지분조정,11470594,11528465,8208565
21,Ⅲ.당기손익인식금융부채,261896,139237,19419
22,Ⅳ.기타금융부채,21526110,20377319,22484393
23,Ⅴ.위험회피목적파생상품부채,818073,455285,266692
24,Ⅵ.당기법인세부채,86145,138986,363813
25,Ⅶ.이연법인세부채,7685644,7850375,5293854
26,Ⅷ.충당부채,267451,251896,335416
27,Ⅸ.기타부채,1142984,1067791,1029980
28,X.특별계정부채,52321027,53143545,46976616
29,부 채 총 계,280379309,275445867,258922196
30,,,,
31,Ⅰ.지배기업주주지분,35794121,35667037,28902094
32,1.자본금,100000,100000,100000
33,2.자본잉여금,125115,125115,125115
34,3.자본조정,"(2,116,955)","(2,116,955)","(2,116,955)"
35,4.기타포괄손익누계액,21433866,21509453,15245998
36,5.이익잉여금,16252095,16049424,15547936
37,Ⅱ.비지배주주지분,1652136,1649368,1603365
38,자 본 총 계,37446257,37316405,30505459
39,,,,
40,부 채 와 자 본 총 계,"317,825,566==================","312,762,272 ==================","289,427,655 =================="
