,과 목,제 65 (당) 2분기,제 65 (당) 2분기.1,제 64 (전) 2분기,제 64 (전) 2분기.1,제 64 (전) 기,제 64 (전) 기.1,제 63 (전전) 기,제 63 (전전) 기.1
0,Ⅰ.영업활동으로부터의 현금흐름,,"(1,005,567)",,5216620,,8644450,,1956123
1,1. 영업활동에서 창출된 현금흐름,"(5,098,861)",,1915840,,1954925,,"(5,225,451)",
2,가. 당기순이익,726419,,794033,,1051692,,1733710,
3,나. 손익조정사항,734994,,"(54,021)",,740025,,595344,
4,다. 자산ㆍ부채의 증감,"(6,560,274)",,1175828,,163208,,"(7,554,505)",
5,2. 이자의 수취,3630435,,3498478,,7031226,,7051418,
6,3. 이자의 지급,"(200,387)",,"(211,341)",,"(460,634)",,"(421,230)",
7,4. 배당금 수입,533149,,603258,,1043877,,1077663,
8,5. 법인세부담액,130097,,"(589,615)",,"(924,944)",,"(526,277)",
9,Ⅱ. 투자활동으로부터의 현금흐름,,"(1,322,041)",,"(3,282,188)",,"(5,665,167)",,"(4,411,023)"
10,1. 매도가능금융자산의 처분,7997121,,4103241,,8474108,,10934657,
11,2. 매도가능금융자산의 취득,"(9,402,865)",,"(8,052,766)",,"(14,859,272)",,"(15,149,903)",
12,3. 만기보유금융자산의 감소,-,,"(1,392)",,-,,16315,
13,4. 위험회피목적파생상품자산의 정산,"(116,915)",,3476,,"(188,510)",,36612,
14,5. 관계기업투자주식의 처분,2220,,9948,,127527,,3592,
15,6. 관계기업투자주식의 취득,"(49,562)",,"(6,705)",,"(47,368)",,"(10,151)",
16,7. 투자부동산 및 유형자산의 처분,855,,669089,,772523,,2067,
17,8. 투자부동산 및 유형자산의 취득,"(36,537)",,"(69,323)",,"(181,408)",,"(1,443,356)",
18,9. 매각예정자산의 처분,271500,,-,,-,,994043,
19,10. 무형자산의 처분,577,,3285,,5955,,5369,
20,11. 무형자산의 취득,"(42,410)",,"(52,562)",,"(93,278)",,"(154,289)",
21,12. 기타,53975,,111521,,324556,,354021,
22,Ⅲ. 재무활동으로부터의 현금흐름,,198148,,"(1,927,406)",,"(1,206,623)",,1832879
23,1. 배당금 지급 등,"(513,403)",,"(513,403)",,"(521,714)",,"(448,514)",
24,2. 차입금의 증가,3235000,,2005000,,5570706,,6793699,
25,3. 차입금의 감소,"(3,255,000)",,"(2,161,000)",,"(5,621,000)",,"(5,705,800)",
26,4. 사채의 발행,5697927,,3048881,,11527926,,12150787,
27,5. 사채의 상환,"(4,793,670)",,"(4,120,000)",,"(12,415,905)",,"(11,548,693)",
28,6. 비지배지분의 증감 등,"(172,706)",,"(186,884)",,253364,,591400,
29,Ⅳ. 현금및현금성자산의 순증감,,"(2,129,460)",,7026,,1772660,,"(622,021)"
30,Ⅴ. 기초의 현금및현금성자산,,5207649,,3434345,,3434345,,4055552
31,Ⅵ. 외화표시 현금및현금성자산에 대한 환율변동효과,,98,,634,,644,,814
32,Ⅶ.반기말의 현금및현금성자산,,3078287,,3442005,,5207649,,3434345
