,과 목,주 석,제 71(당) 반기,제 71(당) 반기,제 70(전) 반기,제 70(전) 반기
,과 목,주 석,3 개 월,누 적,3 개 월,누 적
0,I. 영업수익,,6461832782656,12631283874806,6588800442117,12206324712232
1,1. 보험료수익,30.0,3892375979461,7737445283597,3729175454486,7445382590767
2,2. 재보험수익,31.0,338892407526,683487516151,308938875435,688006555654
3,3. 이자수익,2940.0,743558168073,1482700707390,761024271901,1523883434188
4,4. 구상이익,,1103404992,2440139433,460090842,3662690031
5,5. 당기손익인식유가증권 평가 및 처분이익,29.0,16539262864,92825717784,49999212305,63567458019
6,6. 매도가능유가증권 평가 및 처분이익,29.0,131713074422,200331867080,67909776803,158539885151
7,7. 외환거래이익,29.0,663207670588,1169643407156,1108611433511,1115017911055
8,8. 파생상품평가 및 거래이익,1229.0,158128142817,220884989378,18018983829,76252423674
9,9. 기타수익,32.0,205031424181,442462314677,181754828712,422129747727
10,10. 특별계정수입수수료,,241239143125,475807953320,299266846949,601826946034
11,11. 특별계정수익,,70044104607,123253978840,63640667344,108055069932
12,II. 영업비용,,6405516458038,12537229723297,6359442064763,11767729911471
13,1. 보험계약부채전입액,17.0,1183073369619,2156184200309,1206067222644,2169576680545
14,2. 지급보험금,3340.0,2815296838835,5764440899278,2616649884946,5587905202787
15,3. 재보험비용,31.0,395371796583,764286200414,371350958641,714689050164
16,4. 사업비,3440.0,501436545289,988012125086,454652038267,893027062233
17,5. 신계약비상각비,16.0,303260754871,645680256958,326790777238,671186189523
18,6. 재산관리비,3540.0,47434289659,73188285445,39567760401,57459202927
19,7. 손해조사비,36.0,28112905433,55425360448,26050921999,50963537712
20,8. 당기손익인식유가증권 평가 및 처분손실,29.0,"(8,201,147,775)",32605824062,12445370502,14701587288
21,9. 매도가능유가증권 평가 및 처분손실,29.0,149132582267,284097515018,36550229202,64765282557
22,10. 대출채권및수취채권 평가 및 처분손실,29.0,14355613748,58624075072,3353394199,9170841720
23,11. 외환거래손실,29.0,72728707805,115493273491,22209744483,97439946723
24,12. 파생상품평가 및 거래손실,1229.0,723764850528,1234440218402,1087937523820,1082453037374
25,13. 기타비용,37.0,105119628220,231919535535,87455229923,235606141543
26,14. 특별계정지급수수료,,5372478185,11100083156,5378954361,11879055522
27,15. 특별계정비용,,69257244771,121731870623,62982054137,106907092853
28,III. 영업이익,,56316324618,94054151509,229358377354,438594800761
29,IV. 영업외수익,38.0,30074602044,38639776054,10733145345,26606599180
30,V. 영업외비용,38.0,21945584163,31776987070,7643110652,22245833644
31,VI. 법인세비용차감전순이익,,64445342499,100916940493,232448412047,442955566297
32,VII. 법인세비용,39.0,"(1,053,538,107)",12194968375,62318067149,139954579508
33,VIII. 반기순이익,,65498880606,88721972118,170130344898,303000986789
34,IX. 법인세비용차감후 기타포괄손익,,357441946193,832601516348,"(98,936,855,387)","(209,391,549,199)"
35,1. 당기손익으로 재분류되지 않는 포괄손익,,287937165,2757892856,913420468,4167704967
36,1) 유형자산재평가이익,,287937165,2757892856,913420468,4167704967
37,2. 후속적으로 당기손익으로 재분류될 수 있는 포괄손익,,357154009028,829843623492,"(99,850,275,855)","(213,559,254,166)"
38,1) 매도가능금융자산평가손익,,389639111356,896093704277,"(79,008,206,561)","(235,807,459,426)"
39,2) 만기보유금융자산평가손익,,"(37,684,424,982)","(61,573,932,545)","(37,968,595,266)","(50,838,570,850)"
40,3) 관계기업의 기타포괄손익지분,,"(2,377,203,803)","(951,858,864)","(414,884,961)",2685248736
41,4) 위험회피목적파생상품평가손익,,"(34,425,205,181)","(120,596,243,661)",7388697945,70585037696
42,5) 특별계정기타포괄손익,,30242178951,72737753095,"(1,755,933,602)","(8,747,202,528)"
43,6) 해외사업장환산외환차이,,11759552687,44134201190,11908646590,8563692206
44,X. 반기총포괄손익,,422940826799,921323488466,71193489511,93609437590
45,XI. 반기순손익의 귀속,,65498880606,88721972118,170130344898,303000986789
46,1. 지배기업의 소유주,,70922331089,90122009990,137520816633,247794713799
47,2. 비지배지분,,"(5,423,450,483)","(1,400,037,872)",32609528265,55206272990
48,XII. 반기총포괄손익의 귀속,,422940826799,921323488466,71193489511,93609437590
49,1. 지배기업의 소유주,,395878763791,855243968725,17434801256,22296291458
50,2. 비지배지분,,27062063008,66079519741,53758688255,71313146132
51,XIII. 주당이익,,,,,
52,1. 기본 및 희석주당이익,,69,69,162,301
