,과 목,주 석,제 69(당) 반기,제 69(당) 반기,제 68(전) 반기,제 68(전) 반기
,과 목,주 석,3 개 월,누 적,3 개 월,누 적
0,I. 영업수익,,6190289322615,12967162735069,3973184652824,8830905876632
1,1. 보험료수익,30.0,3706926853084,7580972300262,2404333237579,5620176298355
2,2. 재보험수익,31.0,277604775870,514765521659,37934183916,73863045648
3,3. 이자수익,2940.0,742265992878,1487751045530,668598699225,1339980550135
4,4. 구상이익,,"(42,297,633)",3665952574,-,-
5,5. 당기손익인식유가증권 평가 및 처분이익,29.0,26214211465,67205044616,10967102705,81636873069
6,6. 매도가능유가증권 평가 및 처분이익,29.0,125775794040,244057557414,97972304862,164746474133
7,7. 외환거래이익,29.0,693342750958,700801940451,199463549432,369026754963
8,8. 파생상품평가 및 거래이익,1229.0,140202888763,1344803512227,141926068105,336037325789
9,9. 기타수익,32.0,178103301888,367103383606,152274861418,314839151333
10,10. 특별계정수입수수료,,261987171139,504779975633,230770724156,459268520665
11,11. 특별계정수익,,37907880163,151256501097,28943921426,71330882542
12,II. 영업비용,,5786492322566,12281683154832,3792969124489,8468172881936
13,1. 보험계약부채전입액,,1309430506037,2717609577443,1219713946353,3140451941111
14,2. 지급보험금,3340.0,2306171409729,4775857330868,1492486102936,3037447395590
15,3. 재보험비용,31.0,341729612307,635983441529,41077976352,81859575777
16,4. 사업비,3440.0,358698209571,727536551780,210124270091,453536762330
17,5. 신계약비상각비,16.0,379654071487,770901908150,315451247153,632683993994
18,6. 재산관리비,3540.0,80534260683,93769278561,32347337561,54477673283
19,7. 손해조사비,36.0,25357666100,50063003375,-,-
20,8. 당기손익인식유가증권 평가 및 처분손실,29.0,8713833872,54285276947,14164047098,86851644520
21,9. 매도가능유가증권 평가 및 처분손실,29.0,16124325032,36846788651,15829582318,26304326659
22,10. 대출채권및수취채권 평가 및 처분손실,29.0,1055109639,7877185668,3632691813,13024289289
23,11. 외환거래손실,29.0,177485982153,1748186942998,129080364983,455410462124
24,12. 파생상품평가 및 거래손실,1229.0,649774083526,299437628930,204199098046,239461350144
25,13. 기타비용,37.0,89985425522,203666053619,80682914267,164247232931
26,14. 특별계정지급수수료,,4539185982,9760477697,5235624092,11085351642
27,15. 특별계정비용,,37238640926,149901708616,28943921426,71330882542
28,III. 영업이익,,403797000049,685479580237,180215528335,362732994696
29,IV. 영업외수익,38.0,4907501652,81029471561,483406439871,496968458194
30,V. 영업외비용,38.0,31831940351,40932464360,11955590111,23699896666
31,VI. 법인세비용차감전순이익,,376872561350,725576587438,651666378095,836001556224
32,VII. 법인세비용,39.0,88073836657,170826043039,95911985051,140828301238
33,VIII. 반기순이익,,288798724693,554750544399,555754393044,695173254986
34,IX. 기타포괄손익,,92449190407,238784713430,471050272375,1030291823583
35,1. 당기손익으로 재분류되지 않는 포괄손익,,994568463,14738283183,929050519,7077051130
36,(1) 유형자산재평가이익,,994568463,14738283183,858117842,7006118453
37,(2) 순확정급여부채의 재측정요소,,-,-,70932677,70932677
38,2. 후속적으로 당기손익으로 재분류될 수 있는 포괄손익,,91454621944,224046430247,470121221856,1023214772453
39,(1) 매도가능금융자산평가손익,,142555127720,266296820567,512737279739,1046675286467
40,(2) 만기보유금융자산평가손익,,"(19,189,855,818)","(35,175,673,784)",-,-
41,(3) 관계기업의 기타포괄손익지분,,"(814,170,739)","(467,171,974)","(70,626,219,206)","(64,707,394,967)"
42,(4) 위험회피목적파생상품평가손익,,"(33,624,508,731)",25075369054,13765826378,15089296053
43,(5) 특별계정기타포괄손익,,"(4,748,877,670)","(3,451,621,858)",13273865571,29523432523
44,(6) 해외사업장환산외환차이,,7276907182,"(28,231,291,758)",970469374,"(3,365,847,623)"
45,X. 반기총포괄손익,,381247915100,793535257829,1026804665419,1725465078569
46,,,,,,
47,XI. 반기순이익의 귀속,,288798724693,554750544399,555754393044,695173254986
48,1. 지배기업의 소유주,,251477286343,486984321227,555807779230,695285498578
49,2. 비지배지분,,37321438350,67766223172,"(53,386,186)","(112,243,592)"
50,XII. 반기총포괄손익의 귀속,,381247915100,793535257829,1026804665419,1725465078569
51,1. 지배기업의 소유주,,329151490848,714703079675,1026864878141,1725557829064
52,2. 비지배지분,,52096424252,78832178154,"(60,212,722)","(92,750,495)"
53,,,,,,
54,XIII. 주당이익,,,,,
55,보통주 기본주당순이익,,335,648,740,925
