,과 목,제 62 (당) 기 2분기,제 61 (전) 기 2분기,제 61 (전) 기,제 60 (전전) 기
0,Ⅰ.영업수익,16273490,15145310,30428633,27705927
1,1.보험료수익(주석 24),8510477,8377590,16768276,17354147
2,2.재보험수익(주석 25),135256,125460,278207,257780
3,3.이자수익(주석 26),3344053,3315433,6681999,5729876
4,4.당기손익인식금융자산관련이익(주석 27),272991,216731,356218,333689
5,5.매도가능금융자산관련이익(주석 27),66642,57931,197166,184815
6,6.대출채권및기타수취채권관련이익(주석 27),-,-,-,912
7,7.위험회피목적파생상품관련이익(주석 27),549897,149615,275110,118894
8,8.외환거래이익,275762,165434,553611,717194
9,9.수수료수익,1092732,1001789,2062554,158175
10,10.배당금수익,539890,362919,450646,389569
11,11.임대료수익,207473,227742,437955,444407
12,12.특별계정수입수수료,767358,703989,1442637,1305766
13,13.특별계정수익(주석 15),228538,208951,393717,471945
14,14.기타영업수익(주석 28),147687,94245,260915,238758
15,15.리스수익,134734,137481,269622,-
16,,,,,
17,Ⅱ.영업비용,14931385,14148406,29442112,26557433
18,1.보험계약부채전입액(주석 16),4034125,4386344,9241518,9864308
19,2.지급보험금,5705602,5262859,10610167,10209610
20,3.재보험비용(주석 25),165789,150886,311242,289133
21,4.사업비(주석 29),761215,732578,1523630,1558883
22,5.신계약비상각비(주석 14),1030751,1054421,2123811,2056932
23,6.재산관리비(주석 30),165181,173762,356139,371191
24,7.이자비용,209902,176106,415263,137929
25,8.당기손익인식금융자산관련손실(주석 27),179718,179581,318862,335154
26,9.매도가능금융자산관련손실(주석 27),2055,21039,145150,120462
27,10.대출채권및기타수취채권관련손실(주석 27),129889,149564,305978,6911
28,11.위험회피목적파생상품관련손실(주석 27),237884,119078,468041,601678
29,12.외환거래손실,632269,193243,356116,180205
30,13.특별계정비용(주석 15),228538,208951,393717,471945
31,14.기타영업비용(주석 28),1448467,1339994,2872478,353092
32,,,,,
33,Ⅲ.영업이익,1342105,996904,986521,1148494
34,,,,,
35,Ⅳ.영업외수익(주석 28),80916,1904117,2645582,344046
36,,,,,
37,Ⅴ.영업외비용(주석 28),98984,942678,1024627,121027
38,,,,,
39,Ⅵ.법인세비용차감전연결순이익,1324037,1958343,2607476,1371513
40,,,,,
41,Ⅶ.법인세비용(주석 31),323192,337451,457520,161940
42,,,,,
43,Ⅷ.당분기연결순이익,1000845,1620892,2149956,1209573
44,,,,,
45,IX.법인세비용차감후기타포괄손익,2804258,3173810,1772784,1060247
46,1.후속적으로 당기손익으로 재분류될 수 있는 포괄손익,2804471,3187612,1790977,1056843
47,가.매도가능금융자산평가손익,2767311,3229880,1796574,1012762
48,나.만기보유금융자산평가손익,-102,-152,(293),(362)
49,다.위험회피목적파생상품평가손익,-8229,-24662,76994,69394
50,라.관계기업의 기타포괄손익지분,3168,9126,42041,23688
51,마.특별계정기타포괄손익,1074,16985,"(25,985)","(29,333)"
52,바.해외사업환산손익,41249,-43565,"(98,354)","(19,306)"
53,2.당기손익으로 재분류되지 않는 포괄손익,-213,-13802,"(18,193)",3404
54,가.순확정급여부채 재측정요소,-213,-13802,"(18,193)",3404
55,,,,,
56,X.분기연결총포괄이익,3805103,4794702,3922740,2269820
57,,,,,
58,XI.분기연결순이익(손실)의 귀속,1000845,1620892,2149956,1209573
59,지배기업의소유지분,946727,1569551,2054267,1211233
60,비지배지분,54118,51341,95689,"(1,660)"
61,,,,,
62,XII. 분기연결총포괄이익(손실)의 귀속,3805103,4794702,3922740,2269820
63,지배기업의소유지분,3745869,4759123,3816236,2271193
64,비지배지분,59234,35579,106504,"(1,373)"
65,,,,,
66,XⅢ.지배기업주주지분에대한 주당이익(단위: 원)(주석 34),,,,
67,기본주당이익,5272,8690,11407,6418
68,희석주당이익,5272,8690,11407,6418
