,과 목,제 61 (당) 기 2분기,제 60 (전) 기 2분기,제 60 (전) 기,제 59 (전전) 기
0,Ⅰ.영업수익,15145310,14198956,27705927,27426368
1,1.보험료수익(주석 24),8377590,8910642,17354147,17461627
2,2.재보험수익(주석 25),125460,117106,257780,233297
3,3.이자수익(주석 26),3315433,2861431,5729876,5702049
4,4.당기손익인식금융자산관련이익(주석 27),216731,249026,333689,210150
5,5.매도가능금융자산관련이익(주석 27),57931,152661,184815,685113
6,6.대출채권및기타수취채권관련이익(주석 27),-,1023,912,1113
7,7.위험회피목적파생상품관련이익(주석 27),149615,111646,118894,247306
8,8.외환거래이익,165434,273046,717194,487471
9,9.수수료수익,1001789,12408,158175,43020
10,10.배당금수익,362919,326868,389569,284011
11,11.임대료수익,227742,211681,444407,422481
12,12.특별계정수입수수료,703989,636453,1305766,1091894
13,13.특별계정수익(주석 15),208951,236571,471945,433274
14,14.기타영업수익(주석 28),94245,98394,238758,123562
15,15.리스수익,137481,-,-,-
16,,,,,
17,Ⅱ.영업비용,14148406,13257361,26557433,26020836
18,1.책임준비금전입액(주석 16),4386344,4954255,9864308,10031329
19,2.지급보험금,5262859,5100332,10209610,10051134
20,3.재보험비용(주석 25),150886,138080,289133,265819
21,4.사업비(주석 29),732578,749299,1558883,1568400
22,5.신계약비상각비(주석 14),1054421,1020699,2056932,2011555
23,6.재산관리비(주석 30),657863,252149,521375,478153
24,7.이자비용,176106,126335,137929,103104
25,8.당기손익인식금융자산관련손실(주석 27),179581,137128,335154,209920
26,9.매도가능금융자산관련손실(주석 27),21039,64601,120462,42393
27,10.대출채권및기타수취채권관련손실(주석 27),149564,3201,6911,13708
28,11.위험회피목적파생상품관련손실(주석 27),119078,231795,601678,378137
29,12.외환거래손실,193243,141986,180205,250865
30,13.특별계정비용(주석 15),208951,236571,471945,433274
31,14.기타영업비용(주석 28),855893,100930,202908,183045
32,,,,,
33,Ⅲ.영업이익,996904,941595,1148494,1405532
34,,,,,
35,Ⅳ.영업외수익(주석 28),1904117,71342,344046,321522
36,,,,,
37,Ⅴ.영업외비용(주석 28),942678,26773,121027,123597
38,,,,,
39,Ⅵ.법인세비용차감전연결순이익,1958343,986164,1371513,1603457
40,,,,,
41,Ⅶ.법인세비용(주석 31),337451,79747,161940,266427
42,,,,,
43,Ⅷ.당기연결순이익,1620892,906417,1209573,1337030
44,,,,,
45,IX.법인세비용차감후기타포괄손익,3173810,100403,1060247,2253132
46,1.후속적으로 당기손익으로 재분류될 수 있는 포괄손익,3187612,101022,1056843,2292532
47,가.매도가능금융자산평가손익,3229880,"(1,260)",1012762,2186393
48,나.만기보유금융자산평가손익,(152),(181),(362),(405)
49,다.위험회피목적파생상품평가손익,"(24,662)",59129,69394,129231
50,라.관계기업의 기타포괄손익지분,9126,16132,23688,"(71,277)"
51,마.특별계정기타포괄손익,16985,4742,"(29,333)",35622
52,바.해외사업환산손익,"(43,565)",22460,"(19,306)",12968
53,2.당기손익으로 재분류되지 않는 포괄손익,"(13,802)",(619),3404,"(39,400)"
54,가.순확정급여부채 재측정요소,"(13,802)",(619),3404,"(39,400)"
55,,,,,
56,X.당기연결총포괄손익,4794702,1006820,2269820,3590162
57,,,,,
58,XI.당기연결순이익의 귀속,1620892,906417,1209573,1337030
59,지배기업의소유지분,1569551,906454,1211233,1337488
60,비지배지분,51341,(37),"(1,660)",(458)
61,,,,,
62,XII.당기연결총포괄손익의 귀속,4794702,1006820,2269820,3590162
63,지배기업의소유지분,4759123,1006431,2271193,3589312
64,비지배지분,35579,389,"(1,373)",850
65,,,,,
66,XIII.지배기업주주지분에대한 주당이익(단위: 원)(주석 34),,,,
67,기본주당이익,8690,4794,6418,7062
68,희석주당이익,8690,4794,6418,7062
