,과 목,자 본 금,기타불입자본,신종자본증권,기타자본구성요소,이익잉여금,지배기업의소유주 귀속,비지배지분,총 계
0,2017.1.1(전기초),4342650000000,"(440,193,627,494)",-,1429039398163,3197556818396,8529052589065,630111406947,9159163996012
1,I. 반기총포괄이익,,,,,,,,
2,1. 반기순이익,-,-,-,-,486984321227,486984321227,67766223172,554750544399
3,2. 재평가잉여금의대체,-,-,-,"(23,693,583,022)",23693583022,-,-,-
4,3. 유형자산재평가손익,-,-,-,14738283183,-,14738283183,-,14738283183
5,4. 매도가능금융자산평가손익,-,-,-,253351638832,-,253351638832,12945181735,266296820567
6,5. 만기보유금융자산평가손익,-,-,-,"(35,175,673,784)",-,"(35,175,673,784)",-,"(35,175,673,784)"
7,6. 관계기업의 기타포괄손익지분,-,-,-,"(635,104,153)",-,"(635,104,153)",167932179,"(467,171,974)"
8,7. 위험회피목적파생상품평가손익,-,-,-,27090737251,-,27090737251,"(2,015,368,197)",25075369054
9,8. 특별계정기타포괄손익,-,-,-,"(3,451,621,858)",-,"(3,451,621,858)",-,"(3,451,621,858)"
10,9. 해외사업환산손익,-,-,-,"(28,199,501,023)",-,"(28,199,501,023)","(31,790,735)","(28,231,291,758)"
11,II. 자본에 직접 인식된 주주와의 거래,,,,,,,,
12,1. 연차배당,-,-,-,-,"(60,111,220,000)","(60,111,220,000)","(4,196,269,700)","(64,307,489,700)"
13,2. 신종자본증권 발행,-,-,497930280000,-,-,497930280000,-,497930280000
14,3. 신종자본증권 배당,-,-,-,-,"(4,972,225,274)","(4,972,225,274)",-,"(4,972,225,274)"
15,4. 비지배지분의 증감,-,-,-,-,-,-,29942080000,29942080000
16,2017.6.30 (전반기말),4342650000000,"(440,193,627,494)",497930280000,1633064573589,3643151277371,9676602503466,734689395401,10411291898867
17,2018.1.1 (당기초),4342650000000,"(458,006,536,981)",497930280000,1239339355825,3729643338247,9351556437091,886546107872,10238102544963
18,I. 반기총포괄손익,,,,,,,,
19,1. 반기순이익,-,-,-,-,247794713799,247794713799,55206272990,303000986789
20,2. 유형자산재평가손익,-,-,-,4167704967,-,4167704967,-,4167704967
21,3. 매도가능금융자산평가손익,-,-,-,"(250,083,948,017)",-,"(250,083,948,017)",14276488591,"(235,807,459,426)"
22,4. 만기보유금융자산평가손익,-,-,-,"(38,014,321,755)",,"(38,014,321,755)","(12,824,249,095)","(50,838,570,850)"
23,5. 관계기업의 기타포괄손익지분,-,-,-,2619757355,-,2619757355,65491381,2685248736
24,6. 위험회피목적파생상품평가손익,-,-,-,68817732091,-,68817732091,1767305605,70585037696
25,7. 특별계정기타포괄손익,-,-,-,"(8,752,695,037)",-,"(8,752,695,037)",5492509,"(8,747,202,528)"
26,8. 해외사업환산손익,-,-,-,8571597150,-,8571597150,"(7,904,944)",8563692206
27,II. 자본에 직접 인식된 주주와의 거래,,,,,,,,
28,1. 연차배당,-,-,-,-,"(105,194,635,000)","(105,194,635,000)","(8,517,265,350)","(113,711,900,350)"
29,2. 신종자본증권 발행,-,-,1060069917526,-,-,1060069917526,-,1060069917526
30,3. 신종자본증권 배당,-,-,-,-,"(21,385,787,205)","(21,385,787,205)","(840,000,000)","(22,225,787,205)"
31,4. 비지배지분의 증감,-,-,-,-,-,-,885000000,885000000
32,2018.6.30 (당반기말),4342650000000,"(458,006,536,981)",1558000197526,1026665182579,3850857629841,10320166472965,936562739559,11256729212524
