,과 목,주 석,제 72(당) 반기,제 72(당) 반기,제 71(전) 반기,제 71(전) 반기
,과 목,주 석,3 개 월,누 적,3 개 월,누 적
0,I. 영업수익,,5539422037520,13680290409294,6461832782656,12631283874806
1,1. 보험료수익,31.0,4001741079001,8102274397804,3892375979461,7737445283597
2,2. 재보험수익,32.0,361688740939,714597132529,338892407526,683487516151
3,3. 이자수익,3041.0,742633425675,1491854491203,743558168073,1482700707390
4,4. 구상이익,,375021415,481094279,1103404992,2440139433
5,5. 당기손익인식유가증권 평가 및 처분이익,30.0,17839454859,70889230593,16539262864,92825717784
6,6. 매도가능유가증권 평가 및 처분이익,30.0,209839338508,649343985023,131713074422,200331867080
7,7. 외환거래이익,30.0,"(311,937,609,079)",1371992452279,663207670588,1169643407156
8,8. 파생상품평가 및 거래이익,1230.0,72689792346,296218996973,158128142817,220884989378
9,9. 기타수익,33.0,176794902034,377465498448,205031424181,442462314677
10,10. 특별계정수입수수료,,235214415226,507108524409,241239143125,475807953320
11,11. 특별계정수익,21.0,32543476596,98064605754,70044104607,123253978840
12,II. 영업비용,,5416502910625,13457529960780,6405516458038,12537229723297
13,1. 보험계약부채전입액,18.0,1025832843240,2285804050214,1183073369619,2156184200309
14,2. 지급보험금,3441.0,2916796560883,6229515908422,2815296838835,5764440899278
15,3. 재보험비용,32.0,382479203011,747414700440,395371796583,764286200414
16,4. 사업비,3541.0,510250962195,1015146368059,501436545289,988012125086
17,5. 신계약비상각비,17.0,307053662246,621055809980,303260754871,645680256958
18,6. 재산관리비,3641.0,44504245608,71600006726,47434289659,73188285445
19,7. 손해조사비,37.0,28020529166,56442266234,28112905433,55425360448
20,8. 당기손익인식유가증권 평가 및 처분손실,30.0,1722556144,112334736872,"(8,201,147,775)",32605824062
21,9. 매도가능유가증권 평가 및 처분손실,30.0,108108903103,198043227805,149132582267,284097515018
22,10. 대출채권및수취채권 평가 및 처분손실,30.0,51981052314,65944841774,14355613748,58624075072
23,11. 외환거래손실,30.0,39298352761,189524298033,72728707805,115493273491
24,12. 파생상품평가 및 거래손실,1230.0,"(167,147,889,379)",1521660292478,723764850528,1234440218402
25,13. 기타비용,38.0,120700495273,215766167808,105119628220,231919535535
26,14. 특별계정지급수수료,,14357957464,29212680181,5372478185,11100083156
27,15. 특별계정비용,21.0,32543476596,98064605754,69257244771,121731870623
28,III. 영업이익,,122919126895,222760448514,56316324618,94054151509
29,IV. 영업외수익,39.0,344599188,13137041614,30074602044,38639776054
30,V. 영업외비용,39.0,12638699774,17739726288,21945584163,31776987070
31,VI. 법인세비용차감전순이익,,110625026309,218157763840,64445342499,100916940493
32,VII. 법인세비용,40.0,31845868907,55431668436,"(1,053,538,107)",12194968375
33,VIII. 반기순이익,,78779157402,162726095404,65498880606,88721972118
34,IX. 법인세비용차감후 기타포괄손익,,874688700879,899467391381,357441946193,832601516348
35,1. 당기손익으로 재분류되지 않는 포괄손익,,321637744,1925880441,287937165,2757892856
36,1) 유형자산재평가이익,,321637744,2020129994,287937165,2757892856
37,2) 순확정급여부채의 재측정요소,,-,"(94,249,553)",-,-
38,2. 후속적으로 당기손익으로 재분류될 수 있는 포괄손익,,874367063135,897541510940,357154009028,829843623492
39,1) 매도가능금융자산평가손익,,885320968670,875865438702,389639111356,896093704277
40,2) 만기보유금융자산평가손익,,-,-,"(37,684,424,982)","(61,573,932,545)"
41,3) 관계기업의 기타포괄손익지분,,"(204,603,729)",2651105360,"(2,377,203,803)","(951,858,864)"
42,4) 위험회피목적파생상품평가손익,,"(68,216,842,325)","(22,524,568,774)","(34,425,205,181)","(120,596,243,661)"
43,5) 특별계정기타포괄손익,,33557013896,25373837355,30242178951,72737753095
44,6) 해외사업장환산외환차이,,23910526623,16175698297,11759552687,44134201190
45,X. 반기총포괄손익,,953467858281,1062193486785,422940826799,921323488466
46,XI. 반기순손익의 귀속,,78779157402,162726095404,65498880606,88721972118
47,1. 지배기업의 소유주,,79654450465,158500683510,70922331089,90122009990
48,2. 비지배지분,,"(875,293,063)",4225411894,"(5,423,450,483)","(1,400,037,872)"
49,XII. 반기총포괄손익의 귀속,,953467858281,1062193486785,422940826799,921323488466
50,1. 지배기업의 소유주,,898755729060,997355253313,395878763791,855243968725
51,2. 비지배지분,,54712129221,64838233472,27062063008,66079519741
52,XIII. 주당이익,,,,,
53,1. 기본주당이익,,74,145,69,69
54,2. 희석주당이익,,73,144,69,69
