,과 목,주 석,제 70(당) 반기,제 70(당) 반기,제 69(전) 반기,제 69(전) 반기
,과 목,주 석,3 개 월,누 적,3 개 월,누 적
0,I. 영업수익,,6588800442117,12206324712232,6190289322615,12967162735069
1,1. 보험료수익,30.0,3729175454486,7445382590767,3706926853084,7580972300262
2,2. 재보험수익,31.0,308938875435,688006555654,277604775870,514765521659
3,3. 이자수익,2940.0,761024271901,1523883434188,742265992878,1487751045530
4,4. 구상이익,,460090842,3662690031,"(42,297,633)",3665952574
5,5. 당기손익인식유가증권 평가 및 처분이익,29.0,49999212305,63567458019,26214211465,67205044616
6,6. 매도가능유가증권 평가 및 처분이익,29.0,67909776803,158539885151,125775794040,244057557414
7,7. 외환거래 및 환산이익,29.0,1108611433511,1115017911055,693342750958,700801940451
8,8. 파생상품평가 및 거래이익,1229.0,18018983829,76252423674,140202888763,1344803512227
9,9. 기타수익,32.0,181754828712,422129747727,178103301888,367103383606
10,10. 특별계정수입수수료,,299266846949,601826946034,261987171139,504779975633
11,11. 특별계정수익,,63640667344,108055069932,37907880163,151256501097
12,II. 영업비용,,6359442064763,11767729911471,5786492322566,12281683154832
13,1. 보험계약부채전입액,,1206067222644,2169576680545,1309430506037,2717609577443
14,2. 지급보험금,3340.0,2616649884946,5587905202787,2306171409729,4775857330868
15,3. 재보험비용,31.0,371350958641,714689050164,341729612307,635983441529
16,4. 사업비,3440.0,454652038267,893027062233,358698209571,727536551780
17,5. 신계약비상각비,16.0,326790777238,671186189523,379654071487,770901908150
18,6. 재산관리비,3540.0,39567760401,57459202927,80534260683,93769278561
19,7. 손해조사비,36.0,26050921999,50963537712,25357666100,50063003375
20,8. 당기손익인식유가증권 평가 및 처분손실,29.0,12445370502,14701587288,8713833872,54285276947
21,9. 매도가능유가증권 평가 및 처분손실,29.0,36550229202,64765282557,16124325032,36846788651
22,10. 대출채권및수취채권 평가 및 처분손실,29.0,3353394199,9170841720,1055109639,7877185668
23,11. 외환거래 및 환산손실,29.0,22209744483,97439946723,177485982153,1748186942998
24,12. 파생상품 평가 및 거래손실,1229.0,1087937523820,1082453037374,649774083526,299437628930
25,13. 기타비용,37.0,87455229923,235606141543,89985425522,203666053619
26,14. 특별계정지급수수료,,5378954361,11879055522,4539185982,9760477697
27,15. 특별계정비용,,62982054137,106907092853,37238640926,149901708616
28,III. 영업이익,,229358377354,438594800761,403797000049,685479580237
29,IV. 영업외수익,38.0,10733145345,26606599180,4907501652,81029471561
30,V. 영업외비용,38.0,7643110652,22245833644,31831940351,40932464360
31,VI. 법인세비용차감전순이익,,232448412047,442955566297,376872561350,725576587438
32,VII. 법인세비용,39.0,62318067149,139954579508,88073836657,170826043039
33,VIII. 반기순이익,,170130344898,303000986789,288798724693,554750544399
34,IX. 기타포괄손익,,"(98,936,855,387)","(209,391,549,199)",92449190407,238784713430
35,1. 당기손익으로 재분류되지 않는 포괄손익,,913420468,4167704967,994568463,14738283183
36,유형자산재평가이익,,913420468,4167704967,994568463,14738283183
37,2. 후속적으로 당기손익으로 재분류될 수 있는 포괄손익,,"(99,850,275,855)","(213,559,254,166)",91454621944,224046430247
38,매도가능금융자산평가손익,,"(79,008,206,561)","(235,807,459,426)",142555127720,266296820567
39,만기보유금융자산평가손익,,"(37,968,595,266)","(50,838,570,850)","(19,189,855,818)","(35,175,673,784)"
40,관계기업의 기타포괄손익지분,,"(414,884,961)",2685248736,"(814,170,739)","(467,171,974)"
41,위험회피목적파생상품평가손익,,7388697945,70585037696,"(33,624,508,731)",25075369054
42,특별계정기타포괄손익,,"(1,755,933,602)","(8,747,202,528)","(4,748,877,670)","(3,451,621,858)"
43,해외사업장환산외환차이,,11908646590,8563692206,7276907182,"(28,231,291,758)"
44,X. 반기총포괄손익,,71193489511,93609437590,381247915100,793535257829
45,,,,,,
46,XI. 반기순이익의 귀속,,170130344898,303000986789,288798724693,554750544399
47,1. 지배기업의 소유주,,137520816633,247794713799,251477286343,486984321227
48,2. 비지배지분,,32609528265,55206272990,37321438350,67766223172
49,XII. 반기총포괄손익의 귀속,,71193489511,93609437590,381247915100,793535257829
50,1. 지배기업의 소유주,,17434801256,22296291458,329151490848,714703079675
51,2. 비지배지분,,53758688255,71313146132,52096424252,78832178154
52,,,,,,
53,XIII. 주당이익,,,,,
54,보통주 기본주당순이익,,162,301,328,641
