,과 목,자 본 금,기타불입자본,신종자본증권,기타자본구성요소,이익잉여금,지배기업의소유주 귀속,비지배지분,총 계
0,2019.1.1 (전기초),4342650000000,"(458,006,536,981)",1558000197526,878705504134,3985549304135,10306898468814,1122758599561,11429657068375
1,I. 반기총포괄손익,,,,,,,,
2,1. 반기순이익,-,-,-,-,90122009990,90122009990,"(1,400,037,872)",88721972118
3,2. 유형자산재평가이익,-,-,-,2757892856,-,2757892856,-,2757892856
4,3. 매도가능금융자산평가손익,-,-,-,833563365886,-,833563365886,62530338391,896093704277
5,4. 만기보유금융자산평가손익,-,-,-,"(70,411,984,563)",-,"(70,411,984,563)",8838052018,"(61,573,932,545)"
6,5. 관계기업의 기타포괄손익지분,-,-,-,"(511,958,128)",-,"(511,958,128)","(439,900,736)","(951,858,864)"
7,6. 위험회피목적파생상품평가손익,-,-,-,"(117,109,387,984)",-,"(117,109,387,984)","(3,486,855,677)","(120,596,243,661)"
8,7. 특별계정기타포괄손익,-,-,-,72734869743,-,72734869743,2883352,72737753095
9,8. 해외사업환산손익,-,-,-,44099160925,-,44099160925,35040265,44134201190
10,II. 자본에 직접 인식된 주주와의 거래,,,,,,,,
11,1. 연차배당,-,-,-,-,"(75,139,025,000)","(75,139,025,000)","(7,381,629,970)","(82,520,654,970)"
12,2. 신종자본증권 배당,-,-,-,-,"(38,312,742,952)","(38,312,742,952)","(6,160,000,000)","(44,472,742,952)"
13,Ⅲ. 비지배지분의 증감,-,-,-,-,-,-,29918455547,29918455547
14,2019.6.30 (전반기말),4342650000000,"(458,006,536,981)",1558000197526,1643827462869,3962219546173,11048690669587,1205214944879,12253905614466
15,2020.1.1 (당기초),4342650000000,"(457,886,936,004)",2056297477526,2820597421914,3924201158687,12685859122123,1307416095811,13993275217934
16,I. 반기총포괄손익,,,,,,,,
17,1. 반기순이익,-,-,-,-,158500683510,158500683510,4225411894,162726095404
18,2. 재평가잉여금의대체,-,-,-,"(5,622,158)",5622158,-,-,-
19,3. 유형자산재평가손익,-,-,-,2020129994,-,2020129994,-,2020129994
20,4. 순확정급여부채의 재측정요소,-,-,-,"(94,249,553)",-,"(94,249,553)",-,"(94,249,553)"
21,5. 매도가능금융자산평가손익,-,-,-,819560759927,-,819560759927,56304678775,875865438702
22,6. 관계기업의 기타포괄손익지분,-,,-,2524296014,,2524296014,126809346,2651105360
23,7. 위험회피목적파생상품평가손익,-,-,-,"(26,698,219,482)",-,"(26,698,219,482)",4173650708,"(22,524,568,774)"
24,8. 특별계정기타포괄손익,-,-,-,25374848458,-,25374848458,"(1,011,103)",25373837355
25,9. 해외사업환산손익,-,-,-,16167004445,-,16167004445,8693852,16175698297
26,II. 자본에 직접 인식된 주주와의 거래,,,,,,,,
27,1. 연차배당,-,-,-,-,"(22,541,707,500)","(22,541,707,500)",-,"(22,541,707,500)"
28,2. 신종자본증권 발행,-,-,46521550,-,-,46521550,-,46521550
29,3. 신종자본증권 배당,-,-,-,-,"(49,837,129,716)","(49,837,129,716)","(5,273,333,334)","(55,110,463,050)"
30,4. 주식기준보상,-,280102780,-,-,-,280102780,-,280102780
31,5. 자기주식처분손실,-,1137,-,-,-,1137,1077,2214
32,2020.6.30 (당반기말),4342650000000,"(457,606,832,087)",2056343999076,3659446369559,4010328627139,13611162163687,1366980997026,14978143160713
