,과 목,주 석,제 68(당) 반기,제 67(전)기
0,자 산,,,
1,I. 현금및현금성자산,56727.0,675534964384,759468922745
2,II. 예치금,56727.0,464594955209,157698508928
3,III. 당기손익인식유가증권,5681227.0,2325763476986,2368140762947
4,IV. 매도가능유가증권,5681227.0,61099593572929,51484517396827
5,V. 관계기업 및 공동기업투자,10.0,156263131661,417621613435
6,VI. 대출채권,56112737.0,22826148230088,17653391656665
7,VII. 유형자산,1314.0,1852666034239,1545972639479
8,VIII. 투자부동산,1314.0,2852155471957,2685291172790
9,IX. 무형자산,14.0,1508054800474,104322239821
10,X. 파생상품자산,561227.0,222453520670,58065960446
11,XI. 당기법인세자산,,56549428937,65825866814
12,XII. 이연법인세자산,,13953293444,15320144088
13,XIII. 기타금융자산,56152737.0,1139616084316,841068789856
14,XIV. 기타자산,16.0,2775675839044,2365929975733
15,XV. 특별계정자산,19.0,19774962447545,19007547668986
16,자 산 총 계,,117743985251883,99530183319560
17,부 채,,,
18,I. 보험계약부채,17.0,81725241389987,67765945518040
19,II. 계약자지분조정,18.0,1592140940399,1148276526366
20,III. 당기법인세부채,,15560910619,4774913372
21,IV. 이연법인세부채,,1285434954620,598129031359
22,V. 파생상품부채,561227.0,472316754089,640725838184
23,VI. 순확정급여부채,20.0,92361094261,32685690707
24,VII. 충당부채,21.0,24277212467,12862386688
25,VIII. 기타금융부채,56222737.0,1456334815127,1003162795525
26,IX. 기타부채,23.0,243388284706,218449871186
27,X. 특별계정부채,1719.0,19930895173317,19462413348611
28,부 채 총 계,,106837951529592,90887425920038
29,자 본,,,
30,지배기업의 소유주에게 귀속되는 자본,,,
31,I. 자본금,24.0,4342650000000,4342650000000
32,II. 기타불입자본,24.0,"(439,086,941,120)","(439,086,941,120)"
33,III. 기타자본구성요소,25.0,3226411610219,2196119786636
34,IV. 이익잉여금,26.0,3091968285923,2542616435398
35,비지배지분,,684090767269,458118608
36,자 본 총 계,,10906033722291,8642757399522
37,부 채 및 자 본 총 계,,117743985251883,99530183319560
